date,fund_id,universe,method,periods_per_year,gross_return,turnover,trading_cost,net_return,growth_gross,growth_net,drawdown_gross,drawdown_net,is_rebalance
2021-01-01,crypto_equal_weight,crypto,equal_weight,365,0.01132913328529862,1,0.001,0.01031780415201333,1.011329133285299,1.010317804152013,0,0,True
2021-01-01,crypto_max_sharpe,crypto,max_sharpe,365,-0.00414367258544475,1,0.001,-0.005139528912859292,0.9958563274145552,0.9948604710871407,0,0,True
2021-01-01,crypto_min_variance,crypto,minimum_variance,365,0.011795667110773,1,0.001,0.01078387144366233,1.011795667110773,1.010783871443662,0,0,True
2021-01-01,crypto_risk_parity,crypto,risk_parity,365,0.01115813462350936,1,0.001,0.01014697648888596,1.011158134623509,1.010146976488886,0,0,True
2021-01-02,crypto_equal_weight,crypto,equal_weight,365,0.01997856708206119,0,0,0.01997856708206119,1.031534040216682,1.030502506176465,0,0,False
2021-01-02,crypto_max_sharpe,crypto,max_sharpe,365,0.05427090687051556,0,0,0.05427090687051556,1.049902353416084,1.048852451062668,0,0,False
2021-01-02,crypto_min_variance,crypto,minimum_variance,365,0.04466026786729835,0,0,0.04466026786729835,1.056982732630912,1.055925749898281,0,0,False
2021-01-02,crypto_risk_parity,crypto,risk_parity,365,0.02408714706261884,0,0,0.02408714706261884,1.035514049315749,1.034478535266434,0,0,False
2021-01-03,crypto_equal_weight,crypto,equal_weight,365,0.1164831345883657,0,0,0.1164831345883657,1.151690358655722,1.150538668297066,0,0,False
2021-01-03,crypto_max_sharpe,crypto,max_sharpe,365,0.1356557271393821,0,0,0.1356557271393821,1.192327620594092,1.191135292973498,0,0,False
2021-01-03,crypto_min_variance,crypto,minimum_variance,365,0.08782148976984853,0,0,0.08782148976984853,1.149808530871564,1.148658722340693,0,0,False
2021-01-03,crypto_risk_parity,crypto,risk_parity,365,0.1125576643243263,0,0,0.1125576643243263,1.152069092081755,1.150917022989673,0,0,False
2021-01-04,combined_equal_weight,combined,equal_weight,252,-0.003890754794179937,1,0.001,-0.004886864039385652,0.9961092452058201,0.9951131359606143,0,0,True
2021-01-04,combined_max_sharpe,combined,max_sharpe,252,0.01289774622058655,1,0.001,0.01188484847436611,1.012897746220587,1.011884848474366,0,0,True
2021-01-04,combined_min_variance,combined,minimum_variance,252,-0.008619213290565187,1,0.001,-0.009610594077274603,0.9913807867094349,0.9903894059227254,0,0,True
2021-01-04,combined_risk_parity,combined,risk_parity,252,-0.005532877683106694,1,0.001,-0.006527344805423607,0.9944671223168933,0.9934726551945764,0,0,True
2021-01-04,crypto_equal_weight,crypto,equal_weight,365,0.04302587474388827,0,0,0.04302587474388827,1.201242843770987,1.200041600927216,0,0,False
2021-01-04,crypto_max_sharpe,crypto,max_sharpe,365,0.05225219756011262,0,0,0.05225219756011262,1.254629358981753,1.253374729622772,0,0,False
2021-01-04,crypto_min_variance,crypto,minimum_variance,365,0.02471996420749228,0,0,0.02471996420749228,1.178231756600179,1.177053524843578,0,0,False
2021-01-04,crypto_risk_parity,crypto,risk_parity,365,0.03956085967316599,0,0,0.03956085967316599,1.197645935767393,1.196448289831626,0,0,False
2021-01-04,equity_equal_weight,equity,equal_weight,252,-0.01370106419965942,1,0.001,-0.01468736313545982,0.9862989358003406,0.9853126368645402,0,0,True
2021-01-04,equity_max_sharpe,equity,max_sharpe,252,-0.006784999219297179,1,0.001,-0.007778214220077961,0.9932150007807028,0.992221785779922,0,0,True
2021-01-04,equity_min_variance,equity,minimum_variance,252,-0.006435918188514082,1,0.001,-0.007429482270325583,0.9935640818114859,0.9925705177296744,0,0,True
2021-01-04,equity_risk_parity,equity,risk_parity,252,-0.01194149591248093,1,0.001,-0.01292955441656851,0.9880585040875191,0.9870704455834315,0,0,True
2021-01-04,equity_risk_parity_sentiment,equity,risk_parity_sentiment,252,-0.01183386683129424,1,0.001,-0.01282203296446294,0.9881661331687057,0.9871779670355371,0,0,True
2021-01-05,combined_equal_weight,combined,equal_weight,252,0.01893584647463255,0,0,0.01893584647463255,1.014971416945,1.013956445528055,0,0,False
2021-01-05,combined_max_sharpe,combined,max_sharpe,252,0.02645263008621294,0,0,0.02645263008621294,1.039691555616518,1.038651864060902,0,0,False
2021-01-05,combined_min_variance,combined,minimum_variance,252,0.0007491947955395663,0,0,0.0007491947955395663,0.9921235240352355,0.9911314005112003,0,0,False
2021-01-05,combined_risk_parity,combined,risk_parity,252,0.01347883864640762,0,0,0.01347883864640762,1.00787138419776,1.006863512813562,0,0,False
2021-01-05,crypto_equal_weight,crypto,equal_weight,365,0.04815782515531974,0,0,0.04815782515531974,1.259092086610389,1.257832994523779,0,0,False
2021-01-05,crypto_max_sharpe,crypto,max_sharpe,365,0.08902777400269121,0,0,0.08902777400269121,1.366326218010322,1.364959891792312,0,0,False
2021-01-05,crypto_min_variance,crypto,minimum_variance,365,0.0305111877083807,0,0,0.0305111877083807,1.214181006889782,1.212966825882892,0,0,False
2021-01-05,crypto_risk_parity,crypto,risk_parity,365,0.04719279120270665,0,0,0.04719279120270665,1.254166190348834,1.252912024158485,0,0,False
2021-01-05,equity_equal_weight,equity,equal_weight,252,0.01274162329483093,0,0,0.01274162329483093,0.9988659852964011,0.9978671193111047,0,0,False
2021-01-05,equity_max_sharpe,equity,max_sharpe,252,0.006795507260665673,0,0,0.006795507260665673,0.99996440052991,0.99896443612938,0,0,False
2021-01-05,equity_min_variance,equity,minimum_variance,252,0.0009612839255645435,0,0,0.0009612839255645435,0.9945191789923497,0.9935246598133572,0,0,False
