term,term_type,valence,base_vader_value,collision_with_base,installed_value,source_path,source_sha256,frozen_path,frozen_sha256,approved_term_count,rejected_term_count,validation_status
buyback,word,1.8,,False,1.8,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
covenant breach,phrase,-3.1,,False,-3.1,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
default,word,-3.8,,False,-3.8,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
delisting,word,-2.9,,False,-2.9,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
dilution,word,-2,,False,-2,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
dovish,word,1,,False,1,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
downgrade,word,-2.8,,False,-2.8,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
earnings beat,phrase,2.9,,False,2.9,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
earnings miss,phrase,-2.9,,False,-2.9,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
going concern,phrase,-3.9,,False,-3.9,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
