fund_id,display_name,universe,method,first_live_date,last_date,observations,periods_per_year,cumulative_return_net,annualised_return_net,annualised_volatility_net,sharpe_net,max_drawdown_net,total_turnover,total_trading_cost,rebalance_count,fallback_count
combined_equal_weight,Combined — Equal Weight,Combined,Equal Weight,2021-01-04,2023-12-29,753,252,0.5201118576,0.1635495034,0.21600227,0.7571656696,-0.2790304825,2.350047989,0.002350047989,36,0
combined_max_sharpe,Combined — Maximum Sharpe,Combined,Maximum Sharpe,2021-01-04,2023-12-29,753,252,0.1932027957,0.07793426207,0.1940525917,0.4016141262,-0.2966686135,4.582341543,0.004582341543,36,0
combined_min_variance,Combined — Minimum Variance,Combined,Minimum Variance,2021-01-04,2023-12-29,753,252,0.161069838,0.05813144501,0.1277188219,0.4551517479,-0.1711328854,1.995433648,0.001995433648,36,0
combined_risk_parity,Combined — Risk Parity,Combined,Risk Parity,2021-01-04,2023-12-29,753,252,0.4297631056,0.1348747722,0.1743543336,0.7735670768,-0.2239247186,2.133089504,0.002133089504,36,0
crypto_equal_weight,Crypto — Equal Weight,Crypto,Equal Weight,2021-01-01,2023-12-31,1095,365,1.765246427,0.6776698915,0.8188926604,0.8275442244,-0.8158907065,3.082293086,0.003082293086,36,0
crypto_max_sharpe,Crypto — Maximum Sharpe,Crypto,Maximum Sharpe,2021-01-01,2023-12-31,1095,365,1.652709605,0.5966830491,0.7340297185,0.812886773,-0.7962710468,2.807205328,0.002807205328,36,0
crypto_min_variance,Crypto — Minimum Variance,Crypto,Minimum Variance,2021-01-01,2023-12-31,1095,365,2.440599766,0.6776449447,0.7253097282,0.9342835458,-0.7273226865,3.241729519,0.003241729519,36,0
crypto_risk_parity,Crypto — Risk Parity,Crypto,Risk Parity,2021-01-01,2023-12-31,1095,365,1.648798705,0.6564061317,0.810099088,0.8102788183,-0.8154701654,3.330729347,0.003330729347,36,5
equity_equal_weight,Equity — Equal Weight,Equity,Equal Weight,2021-01-04,2023-12-29,753,252,0.4244309142,0.1314027565,0.1612015606,0.815145685,-0.2026396845,1.953374867,0.001953374867,36,0
equity_max_sharpe,Equity — Maximum Sharpe,Equity,Maximum Sharpe,2021-01-04,2023-12-29,753,252,0.1987473707,0.07337172964,0.1593125287,0.4605521628,-0.2522936352,4.359030811,0.004359030811,36,0
equity_min_variance,Equity — Minimum Variance,Equity,Minimum Variance,2021-01-04,2023-12-29,753,252,0.1845390898,0.06473305473,0.1269643055,0.5098523911,-0.1722622208,1.991499284,0.001991499284,36,0
equity_risk_parity,Equity — Risk Parity,Equity,Risk Parity,2021-01-04,2023-12-29,753,252,0.3297217495,0.1065234916,0.1493195364,0.7133928631,-0.1940183002,1.901900644,0.001901900644,36,0
equity_risk_parity_sentiment,Equity — Risk Parity + Sentiment,Equity,Risk Parity + Sentiment,2021-01-04,2023-12-29,753,252,0.317815562,0.1034844165,0.149132629,0.6939086182,-0.1962716505,2.423552964,0.002423552964,36,0
