metric,value
distinct_titles_scored,105330
titles_with_changed_compound,3860
titles_with_changed_compound_percent,3.664672932687743
mean_absolute_compound_change,0.009364716604955853
median_absolute_compound_change,0.0
classification_changed_count_at_0.05,1199
classification_changed_percent_at_0.05,1.13832716225197
sector_index_compared_rows,9822
sector_index_changed_rows,2625
sector_index_changed_percent,26.725717776420282
sector_index_mean_absolute_compound_difference,0.006688293152544951
approved_finance_term_count,29
rejected_finance_term_count,10
accuracy_claim,none; changed scores are not labelled accuracy validation
classification_change_negative_to_neutral,6
classification_change_negative_to_positive,109
classification_change_neutral_to_negative,108
classification_change_neutral_to_positive,880
classification_change_positive_to_negative,89
classification_change_positive_to_neutral,7
